incident,cause
Endured emotional abuse in a toxic relationship.,Domestic Violence
Endured emotional manipulation in a toxic relationship.,Domestic Violence
Endured physical abuse from a former partner.,Domestic Violence
Endured physical assault from a stranger.,Domestic Violence
"Endured prolonged psychological and physical abuse from a manipulative partner, struggling to break free from the suffocating grasp",Domestic Violence
Endured psychological abuse from a manipulative partner.,Domestic Violence
Escaped a physically abusive relationship.,Domestic Violence
Escaped an abusive family environment.,Domestic Violence
Escaped an abusive guardian.,Domestic Violence
Escaped an abusive household with the help of friends.,Domestic Violence
Escaped an abusive household.,Domestic Violence
Escaped an abusive marriage.,Domestic Violence
Escaped an abusive parent with the help of authorities.,Domestic Violence
Escaped an abusive parent.,Domestic Violence
Escaped an abusive partner through legal intervention.,Domestic Violence
Escaped an abusive partner through self-defense.,Domestic Violence
Escaped an abusive partner with the help of authorities.,Domestic Violence
Escaped an abusive partner with the support of friends.,Domestic Violence
Escaped an abusive relationship through a restraining order.,Domestic Violence
Escaped an abusive relationship.,Domestic Violence
Escaped an abusive roommate with the help of authorities.,Domestic Violence
Escaped an abusive roommate.,Domestic Violence
Escaped an abusive sibling.,Domestic Violence
I was the victim of domestic violence.,Domestic violence
Suffered emotional abuse from a family member.,Domestic Violence
Suffered emotional abuse in a long-term friendship.,Domestic Violence
Suffered emotional abuse in a toxic friendship.,Domestic Violence
Suffered emotional abuse in a toxic relationship.,Domestic Violence
"Suffered emotional and psychological torment from a toxic workplace environment, battling the effects of harassment and discrimination",Domestic Violence
Suffered physical abuse from a former partner.,Domestic Violence
Suffered physical abuse from a sibling.,Domestic Violence
"Suffered physical and emotional torment from an abusive sibling, enduring years of pain and fear within the confines of my own home",Domestic Violence
Suffered physical assault from a family member.,Domestic Violence
Suffered physical assault from a neighbor.,Domestic Violence
Suffered physical assault from a stranger.,Domestic Violence
"Suffered prolonged emotional and verbal abuse from a toxic family member, struggling to break free from their toxic influence",Domestic Violence
"Suffered relentless emotional and psychological abuse from a narcissistic partner, struggling to reclaim my identity and self-worth",Domestic Violence
"Suffered severe physical and emotional abuse from a parent, enduring years of torment and fear in the confines of my own home",Domestic Violence
"Suffered years of physical and emotional abuse from an authoritarian spouse, fighting to break free from the cycle of violence",Domestic Violence
"Suffered years of psychological and financial abuse from a manipulative partner, struggling to reclaim my independence and self-worth",Domestic Violence
"Underwent a series of violent assaults by a family member, trapped in a cycle of abuse and the quest for liberation",Domestic Violence
Underwent emotional abuse in an oppressive relationship.,Domestic Violence
Underwent emotional manipulation by a close friend.,Domestic Violence
Underwent physical violence from a family member.,Domestic Violence
Underwent psychological manipulation in a cult-like group.,Domestic Violence
Underwent psychological manipulation in a cult.,Domestic Violence
Underwent psychological manipulation in an abusive relationship.,Domestic Violence
"Experienced a traumatic medical procedure due to negligence, grappling with the aftermath and seeking justice",Medical Trauma
Underwent a botched surgical procedure that led to complications.,Medical Trauma
"Underwent a complex and high-risk spinal surgery, facing the fear of paralysis and the long road to recovery",Medical Trauma
"Underwent a complex and life-altering surgery to reconstruct a disfigured face, confronting the challenges of self-acceptance and healing",Medical Trauma
Underwent a complex surgery with unexpected complications.,Medical Trauma
"Underwent a complicated and risky heart surgery, facing the fear of mortality and the challenges of recovery",Medical Trauma
"Underwent a complicated and risky organ transplant surgery, grappling with the uncertainty of survival and post-operative recovery",Medical Trauma
"Underwent a life-altering and risky organ transplant surgery, facing the challenges of finding a compatible donor and post-operative care",Medical Trauma
"Underwent a life-saving organ transplant, facing the uncertainty of finding a donor and the complexities of post-transplant care",Medical Trauma
